acc. date,type,reg.,operator,fat.,location,dmg
18-Jun-58,Nord 2501 Noratlas,73,L'Armée de L'Air,,Blida,w/o
31-May-58,Douglas C-47A-85-DL (DC-3),F-BHKV,Air France,15,S of Molière,w/o
20-Apr-58,Douglas C-54A-1-DO (DC-4),F-BELK,Air France,0,near In Salah Airport (INZ),w/o
29-Nov-57,Nord 2501 Noratlas,26,L'Armée de L'Air,9,65 km SE of Tindouf,w/o
22-Oct-57,Lockheed P2V-6 Neptune,126539,Aéronavale,8,near Oran,w/o
19-Jun-57,Nord 2501 Noratlas,68,L'Armée de L'Air,6,Bouinane,w/o
8-Apr-57,Douglas C-47B-5-DK (DC-3),F-BEIK,Air France,32,"0,8 km from Biskra Airport (BSK)",w/o
2-Apr-57,Amiot AAC.1 (Junkers Ju-52),341/F-UIHW,L'Armée de L'Air,8,near Djanet,w/o
18-Jun-56,Douglas C-47B-35-DK (DC-3),76976,L'Armée de L'Air,,nr Jijel,w/o
25-Jan-56,Nord 2501 Noratlas,70,L'Armée de L'Air,1+5,near Mouzaia,w/o
25-Jan-56,Nord 2501 Noratlas,48,L'Armée de L'Air,5+1,near Mouzaia,w/o
11-Jan-56,Nord 2501 Noratlas,71,L'Armée de L'Air,6,57 km WSW of Blida,w/o
17-Dec-55,Lockheed L-749A Constellation,F-BAZG,Air Algérie,0,Algiers-Maison Blanche Airport (ALG),w/o
16-Sep-54,Amiot AAC.1 (Junkers Ju-52),,L'Armée de L'Air,8,S of Mouzaia,w/o
16-Oct-52,Junkers Ju-52/3m,,L'Armée de L'Air,9,Béni Ounif,w/o
12-Mar-52,Amiot AAC.1 (Junkers Ju-52),1025,Aéronavale,3,30 km from Collo,w/o
12-May-51,Amiot AAC.1 (Junkers Ju-52),F-BDYE,Air Fret Transimax,3,N of Rovigo,w/o
29-Jul-50,Bristol 170 Freighter 21,F-BENF,Compagnie Air Transport - CAT,26,Tanezrouft,w/o
22-Aug-49,Douglas C-47A-75-DL (DC-3),F-BEFK,Société de Transports Aériens Alpes Provence-STAAP,1,near Laghouat,w/o
7-Jan-49,Breguet 730,,Aéronavale,2,off Arzew,w/o
31-May-47,Amiot AAC.1 (Junkers Ju-52),F-BBYH,Service de Télécommunication et de Signalisation,3,Aoulef,w/o
10-Nov-46,Douglas Dakota III (DC-3),FZ570,Royal Air Force - RAF,,Algiers-Maison Blanche Airport (ALG),w/o
4-Sep-46,Amiot AAC.1 (Junkers Ju-52),F-BBYS,Compagnie Générale Transsaharienne - CGT,0,Constantine-Ain el Bey Airport (CZL),sub
23-Aug-45,Lockheed 18-07-01 Lodestar,F-ARTK,"Ministère de l'Air, Direction Technique et Industrielle",,off Algerian coast,w/o
18-Jun-45,Douglas C-54B-1-DC (DC-4),42-72372,United States Army Air Force - USAAF,4,96 km ESE of Biskra Airport (BSK),w/o
15-Mar-45,Douglas Dakota III (DC-3),KG525,South African Air Force - SAAF,,Algiers-Maison Blanche Airport (ALG),w/o
30-Dec-44,Lockheed C-60A-5-LO Lodestar,FC-BAD,Lignes Aériennes Militaires - LAM,12,off Algiers,w/o
19-Sep-44,Douglas Dakota III (DC-3),FZ574,South African Air Force - SAAF,,Algiers-Maison Blanche Airport (ALG),w/o
19-Sep-44,Douglas C-47A-20-DK (DC-3),42-92996,United States Army Air Force - USAAF,,Bordj Menaiel,w/o
11-Sep-44,Douglas C-53 Skytrooper (DC-3),42-15893,United States Army Air Force - USAAF,,El Aouina AAB,w/o
6-Jul-44,Douglas C-47-DL (DC-3),42-32807,United States Army Air Force - USAAF,,Constantine Airport (CZL),w/o
2-Jul-44,Douglas C-47-DL (DC-3),41-7816,United States Army Air Force - USAAF,,Oran-es Senia Airport (ORN),w/o
3-Jun-44,Douglas Dakota III (DC-3),FD866,Royal Air Force - RAF,16,19 km SE of Mostaganem,w/o
11-Jan-44,Douglas C-47-DL (DC-3),41-18370,United States Army Air Force - USAAF,,El Khroub Air Base,w/o
24-Nov-43,Douglas C-47-DL (DC-3),41-7811,United States Army Air Force - USAAF,7,36 km W off Algiers,w/o
26-Sep-43,Douglas C-47-DL (DC-3),41-38759,United States Army Air Force - USAAF,,Oran-es Senia Airport (ORN),w/o
1-Jun-43,Douglas C-47-DL (DC-3),41-18450,United States Army Air Force - USAAF,,Thiersville Airfield (MUW),w/o
26-May-43,Douglas C-47-DL (DC-3),41-38710,United States Army Air Force - USAAF,,Algiers-Maison Blanche Airport (ALG),w/o
18-May-43,Douglas C-53-DO (DC-3),42-6482,United States Army Air Force - USAAF,,Bone,w/o
