acc. date,type,reg.,operator,fat.,location,dmg
8-Sep-74,Boeing 707-331B,N8734,Trans World Airlines - TWA,88,"93 km W off Cephalonia, Greece",w/o
29-Jan-72,Grumman C-2A Greyhound,155122,United States Navy,2,Mediterranean Sea,w/o
31-Dec-70,Nord 262E,F-BNGB,Rousseau Aviation,30,"90 km NNE off Algiers, Algeria",mis
11-Sep-68,Sud Aviation SE-210 Caravelle III,F-BOHB,Air France,95,"41 km S off Nice, France",w/o
18-Aug-68,Antonov An-24V,SU-AOL,United Arab Airlines - UAA,40,ca 180 km S off Cyprus,w/o
12-Oct-67,de Havilland DH-106 Comet 4,G-ARCO,"British European Airways - BEA, opf Cyprus Airways",66,"35 km S off Demre, Turkey",w/o
29-Sep-60,Vickers 739B Viscount,SU-AKW,United Arab Airlines - UAA,21,"27,5 km N off Elba, Italy [Tyrrhenian Sea]",w/o
7-Jun-59,Douglas SC-47A,43-15689,United States Air Force - USAF,0,100 km off Libya,w/o
29-Sep-58,Avro 685 York I,OD-ADB,Middle East Airlines - MEA,5,Mediterranean Sea,mis
1-Dec-56,SNCASE SE.161/P7 Languedoc,61/F-SSUN,L'Armée de L'Air,10,S off Marseille,mis
29-Jul-55,Douglas C-47A-30-DK (DC-3),43-48213,United States Air Force - USAF,0,145 km N off Libya,w/o
22-Jul-53,Handley Page Hastings C.1,TG613,Royal Air Force - RAF,0,"224 km off Idris, Libya",w/o
15-Jan-53,Vickers Valetta C.1,VX562,Royal Air Force - RAF,19+7,"46 km SW off Agrigento, Italy",w/o
27-Jul-52,Douglas C-47A-10-DK (DC-3),ZS-DFB,Tropic Airways,0,ca 160 km off Benghazi,w/o
12-Sep-51,Douglas DC-3,F-BEIZ,Société de Transports Aériens Alpes Provence-STAAP,39,"132 km W off Palma, Islas Baleares, Spain",w/o
20-Jul-48,Douglas C-47B-30-DK (DC-3),476561/FRAMC,L'Armée de L'Air,0,"130 km S off Marseille, France",w/o
25-Jan-48,Bristol 170 Freighter 21E,F-BCJA,Société Indochinoise de Transport Aériens,5,off Cyprus,w/o
unk. date 1946,Lockheed C-69 Constellation,43-10314,United States Army Air Force - USAAF,,off France,w/o
13-Dec-44,Douglas Dakota III (DC-3),KG710,South African Air Force - SAAF,4,between Bari and Athens,mis
9-Jul-43,Douglas Dakota I (DC-3),FD774,Royal Air Force - RAF,1,"ca 75 km E off Chebba, Tunisia",w/o
19-Apr-43,Savoia-Marchetti SM-75 bis,I-MONC,Linee Aeree Transcontinentali Italiane - LATI,,Mediterranean Sea,w/o
13-Apr-43,Savoia-Marchetti SM-75,I-MAST,Linee Aeree Transcontinentali Italiane - LATI,,Mediterranean Sea,w/o
15-Nov-42,Savoia-Marchetti SM-75C,I-TELO,Linee Aeree Transcontinentali Italiane - LATI,4,between Tunisia and Sicily,w/o
13-Nov-42,Junkers Ju-52/3m,G6+FN,Luftwaffe,2,between Tunis and Trapani,w/o
13-Nov-42,Junkers Ju-52/3m,G6+AS,Luftwaffe,3,between Tunis and Trapani,w/o
13-Nov-42,Douglas C-47-DL (DC-3),41-18469,United States Army Air Force - USAAF,,Mediterranean Sea,w/o
9-Nov-42,Fiat G.12LGA,I-FELI,Linee Aeree Transcontinentali Italiane - LATI,0,off Crete,w/o
26-Oct-42,Junkers Ju-52/3mg6e,,Luftwaffe,4,between Maleme and Tobruk,w/o
25-Oct-42,Junkers Ju-52/3m,KA+SB,Luftwaffe,20,Mediterranean Sea,w/o
25-Jul-42,Short Sunderland I,L5806,Royal Air Force - RAF,,off Egyptian coast,mis
12-May-42,Junkers Ju-52/3m,1Z+GV,Luftwaffe,4,between Malemes and Derna,w/o
27-Nov-40,SNCAC (Farman) NC.223.4,F-AROA,Air France,7,"ca 50 S off Cape Spartivento, Sardinia, Italy",mis
21-Dec-39,Lockheed 14-WF62 Super Electra,G-AFYU,British Airways Ltd.,5,480 km NW off Alexandria,w/o
14-Jul-38,Savoia-Marchetti S-66,I-VOLO,Ala Littoria,20,"145 km NE off Terranova, Sardinia, Italy",w/o
13-Feb-38,CANT Z.506,I-ORIA,Ala Littoria,14,"off Sardinia, Italy",w/o
8-May-36,Lioré-et-Olivier H.242/1,F-ANQG,Air France,0,off Algerian coast,w/o
21-Nov-30,Dornier Do R4 Superwal,I-RONY,Società Anonima Navigazione Aerea - SANA,6,"off Cap de Creus, Spain",mis
16-Apr-24,Boeing 787-9 Dreamliner,ZK-NZC,Air New Zealand,0,SE of Bali,non
4-Dec-23,Airbus A380-861,A6-EEV,Emirates,0,within Male FIR,min
15-Jun-23,Boeing 777-336ER,G-STBL,British Airways,0,over Bay of Bengal,non
2-Mar-23,Airbus A330-941,D-ANRA,Condor,0,near Seychelles,min
10-Jul-19,Airbus A380-861,A6-EEM,Emirates,0,Bay of Bengal,non
7-Jan-17,Bombardier CL-600-2B16 Challenger 604,D-AMSC,MHS Aviation,0,"1230 km SSE of Muscat, Oman",sub
22-Jul-16,Antonov An-32,K2743,Indian Air Force - IAF,29,ca 310 km E off Chennai [Bay of Bengal],w/o
8-Jun-15,Dornier 228-202,CG-791,Indian Coast Guard,3,30 km off Pichavaram,w/o
24-Mar-15,Dornier 228-201,IN240,Indian Naval Air Arm,2,"46 km SW off Goa, India",w/o
8-Mar-14,Boeing 777-2H6ER,9M-MRO,Malaysia Airlines,239,within Indian Ocean,w/o
18-Oct-11,Boeing 777-3FXER,A6-ETC,Etihad Airways,0,over the Bay of  Bengal,min
7-Oct-08,Airbus A330-303,VH-QPA,Qantas,0,"154 km W of Learmonth, WA, Australia",min
1-Oct-00,Airbus A310-308,A6-EKK,Emirates,0,"waypoint DONSA, R456",non
29-Nov-87,Boeing 707-3B5C,HL7406,Korean Air,115,"100 km NW off Tavoy, Myanmar [Andaman Sea]",w/o
28-Nov-87,Boeing 747-244B,ZS-SAS,South African Airways - SAA,159,250 km NE off Mauritius,w/o
25-Mar-86,Antonov An-32,K2729,Indian Air Force - IAF,7,"450 km off Jamnagar, India",mis
18-Oct-85,Lockheed L-1011 TriStar 500,JY-AGE,Alia Royal Jordanian Airlines,0,130 km from Singapore,sub
2-Jul-80,Douglas C-47 (DC-3),,Royal Thai Navy,2,"96 km off Prachuap Khiri Khan Province, Thailand",w/o
5-Nov-67,Avro Shackleton MR.2,WL786,Royal Air Force - RAF,8,"192 km W off Lhokkruet, Indonesia",w/o
13-Jun-64,Douglas C-47A-20-DK (DC-3),HZ-AAN,Saudi Arabian Airlines,2,"100 km S off Jeddah, Saudi Arabia [Red Sea]",w/o
27-Sep-53,Grumman SA-16B Albatross,51-7149,United States Air Force - USAF,4,"32 km S off Jask, Iran [Gulf of Oman]",w/o
6-Oct-46,Avro 685 York C.1,MW125,Royal Air Force - RAF,21,"160 km W off Penang, Malaysia [Bay of Bengal]",w/o
23-Mar-46,Avro 691 Lancastrian C.1,G-AGLX,"Qantas, lsf BOAC",10,Indian Ocean off Cocos (Keeling) Islands,mis
19-Dec-45,Douglas C-47B-30-DK (DC-3),A65-83,Royal Australian Air Force - RAAF,25,Timor Sea,mis
16-Sep-45,Douglas Dakota III (DC-3),FL610,Royal Air Force - RAF,0,"96 km SW off Ye, Myanmar [Andaman Sea]",w/o
15-Sep-44,Consolidated Catalina GR.IIA,VA718,Royal Air Force - RAF,0,"East Point Plantation, Diego Garcia",w/o
21-May-44,Consolidated PBY-5A Catalina,A24-73,Royal Australian Air Force - RAAF,9,Java Sea,mis
1-Mar-40,Handley Page HP.42E,G-AAGX,Imperial Airways,8,"55 km off Dibba, Oman [Gulf of Oman]",w/o
3-Dec-24,Boeing 787-9 Dreamliner,N29975,United Airlines,0,over Pacific Ocean,non
15-Nov-24,Boeing 787-9 Dreamliner,N833AA,American Airlines,0,"NE of Tokyo, over North Pacific Ocean",non
11-Mar-24,Boeing 787-9 Dreamliner,CC-BGG,LATAM Airlines Chile,0,over Tasman Sea,non
20-May-23,Viking Air DHC-6 Twin Otter 400,N153QS,Seafly LLC,2,"54 km W off Half Moon Bay Airport, CA (HAF)",w/o
6-Dec-18,Lockheed Martin KC-130J,167981,United States Marine Corps,5,"100 km SSE off Muroto Cape, Japan",w/o
27-Sep-18,Cessna 208B Supervan 900,VH-FAY,CGG Aviation Australia,1,"120 km E off Sendai, Japan",w/o
22-Nov-17,Grumman C-2A Greyhound,162175,United States Navy,3,SE off Okinawa,w/o
15-Oct-17,Boeing 767-328ER,N342AX,Omni Air International,0,"117 km from Honolulu, HI",non
30-Dec-15,Boeing 777-333ER,C-FRAM,Air Canada,0,"85 NM ENE of Anchorage, Alaska",unk
28-Apr-15,ShinMaywa US-2,9905,Japan Maritime Self Defence Force - JMSDF,0,"40 km NE off Ashizuri Cape, Japan",sub
17-Mar-14,Airbus A330-323,N803NW,Delta Air Lines,0,over Pacific Ocean,non
19-Feb-13,Boeing 747-422,N174UA,United Airlines,0,over Pacific Ocean,non
28-Jul-11,Boeing 747-48EF,HL7604,Asiana Airlines,2,"130 km W off Jeju, South Korea [East China Sea]",w/o
11-Apr-11,Boeing 777-223ER,N766AN,American Airlines,0,~194 nm east of RJAA,non
15-Jul-10,Boeing 767-332ER (WL),N184DN,Delta Air Lines,0,Pacific Ocean,non
25-Jul-08,Boeing 747-438,VH-OJK,Qantas,0,"475 km NW of Manila, Philippines",sub
19-May-08,McDonnell Douglas DC-10-30,N720AX,Omni Air International,0,over Pacific Ocean,non
25-Dec-07,Airbus A330-323,N819NW,Northwest Airlines,0,"1300 nm W of Honolulu, Oahu, HI",non
20-Dec-07,Cessna 208B Grand Caravan,N954PA,Agape Flights,0,"42 km WNW off Chub Cay, Bahamas",w/o
28-Mar-05,Airbus A330-203,B-16306,Eva Airways,0,passing MJE VOR near Japan,min
28-Jun-04,Boeing 777-212ER,9V-SRC,Singapore Airlines Limited,0,Near Waypoint ARESI (L625),non
15-Jan-03,Dassault Falcon 900,N11WM,Pistol Creek Financial Co.,0,west of HERZO intersection,non
25-May-02,Boeing 747-209B,B-18255,China Airlines,225,"45 km NE off Penghu islands, Taiwan [Taiwan Strait]",w/o
27-Oct-00,Boeing 747-412,VH-ANA,Ansett ANA,0,796 km S of Guam,non
23-May-00,Beechcraft B200 King Air,N24CV,Calico Ventures LLC,0,"260 km SE off San Diego, CA, USA",w/o
9-Jun-99,Boeing 747-422,N198UA,United Airlines,0,Pacific Ocean,non
27-Sep-98,McDonnell Douglas DC-10-40,JA8539,Japan Air Lines,0,"1130 nm NW of Honolulu, Hawaii",non
28-Dec-97,Boeing 747-122,N4723U,United Airlines,1,1530 km ESE of Tokyo,w/o
12-Apr-97,de Havilland Canada DHC-6 Twin Otter 300,N242CA,Corporate Air,0,"117 km NE off Hilo, HI, USA",w/o
22-Nov-96,Lockheed HC-130P Combat King,64-14856,United States Air Force - USAF,10,"64 km W off Cape Mendocino, CA, USA",w/o
2-Oct-96,Boeing 757-23A,N52AW,AeroPeru,70,"89 km NW off Lima, Peru",w/o
1-Nov-95,Boeing 747-122,N4714U,United Airlines,0,Pacific Ocean,non
17-Oct-95,Boeing 747-422,N191UA,United Airlines,0,Pacific Ocean,non
23-Aug-95,Lockheed L-1011 TriStar 1,N781DL,Delta Air Lines,0,"720km W of Los Angeles, CA, USA",w/o
16-Mar-95,de Havilland Canada DHC-6 Twin Otter 200,N37ST,Great Barrier Airlines (New Zealand),0,"325 km off Oahu Island, HI, USA",w/o
2-Dec-94,IRMA/Pilatus Britten-Norman BN-2B-20 Islander,N16VM,"Southern Cross Aviation, lsf Trans Island Air",0,"320 km NE off Majuro, Marshall Islands",w/o
12-Feb-94,Boeing 747-422,N186UA,United Airlines,0,Pacific Ocean,non
15-Jan-94,Boeing-Canada PB2B-1 Canso A (PBY-5A),N5404J,The Catalina Company,0,150 km N off Christmas Island,w/o
27-Sep-92,Boeing 747-246B,JA8127,Japan Air Lines,0,"540 km WNW of Honolulu, HI",non
24-Apr-92,Lockheed C-130H Hercules,67-7183,United States Air Force - USAF,1,95 km off Peruvian coast,sub
29-Oct-91,Boeing 707-368C,A20-103,Royal Australian Air Force - RAAF,5,"43 km S off East Sale, VIC, Australia",w/o
18-Jun-91,Grumman HU-16E Albatross,N7029C,Pacific Flying Fish,0,"between Santa Barbara, CA and Kahului, HI",w/o
24-Feb-89,Boeing 747-122,N4713U,United Airlines,9,near Hawaii,sub
12-Jul-88,North American Rockwell CT-39E Sabreliner,158381,United States Navy,0,off Spratly Islands [South China Sea],w/o
5-Mar-86,Learjet 35,N39DM,Flight International,2+2,"43,5 km SE of San Clemente Island, CA, USA",w/o
5-Mar-86,Learjet 24D,N97DM,Flight International,2+2,"43,5 km SE of San Clemente Island, CA, USA",w/o
11-Sep-85,Boeing 747-146,JA8101,Japan Air Lines,0,565 km WNW of Midway,non
19-Feb-85,Boeing 747SP-09,N4522V,China Airlines,0,"550 km NW off San Fransisco, CA, USA",sub
10-Jul-84,McDonnell Douglas DC-8-61,JA8042,Japan Air Lines,0,"230 km NE of Manila, Philippines",non
27-Feb-84,Shin Meiwa PS-1,5803,Japan Maritime Self Defence Force - JMSDF,12,Sea of Japan,w/o
1-Sep-83,Boeing 747-230B,HL7442,Korean Air Lines - KAL,269,37 km W off Sakhalinsk [Okhotsk Sea],w/o
11-Aug-82,Boeing 747-121,N754PA,Pan American World Airways (Pan Am),1,225 km from Hawaii,min
25-Apr-82,McDonnell Douglas DC-8-61,JA8045,Japan Air Lines,0,130 km SW of Near Hong Kong,non
7-Jan-82,Boeing 747-219B,ZK-NZV,Air New Zealand,0,150 nm N of Pago Pago,non
19-Sep-80,Boeing 747-246B,JA8125,Japan Air Lines,0,North Pacific Ocean,non
18-Nov-79,McDonnell Douglas DC-10-40,JA8535,Japan Air Lines,0,"1080 km from Tokyo, over North Pacific Ocean",non
30-Jul-79,Boeing 747-136,G-BBPU,British Airways,0,"North Pacific Ocean, near Danang",non
20-Jul-79,Douglas C-47B-50-DK (DC-3),N63250,Trans National Airlines,2,"off Honolulu, HI, USA",mis
30-Jan-79,Boeing 707-323C,PP-VLU,Varig,6,"c 200km ENE off Tokyo, Japan",mis
26-Oct-78,Lockheed P-3C Orion,159892,United States Navy,5,"960 km E off Petropavlovsk-Kamchatskiy, Russia",w/o
27-Jul-78,McDonnell Douglas DC-10-30,N54629,Union de Transports Aériens - UTA,0,South Pacific,non
13-Oct-74,Lockheed WC-130H Hercules,65-0965,United States Air Force - USAF,6,"640 km NNW off Clark Air Base, Philippines [South China Sea]",w/o
30-Sep-74,Grumman G-73 Mallard,N2965,United States Department of Interior,4,off Alaska,mis
12-Apr-72,Boeing 747-151,N606US,Northwest Orient Airlines,0,over Pacific Ocean,non
29-Mar-72,de Havilland DH-114 Riley Heron 2D,N19D,Air Pacific,0,"350 km off Hawaii, USA",w/o
19-Dec-71,de Havilland Canada C-7A Caribou (DHC-4),62-4173,United States Air Force - USAF,0,"48 km W off San Francisco, CA, USA",w/o
12-Dec-71,Grumman C-2A Greyhound,152793,United States Navy,10,"320 km SW of Cubi Point NAS, Philippines [South China Sea]",w/o
13-Jun-71,Boeing C-135B Stratolifter,61-0331,United States Air Force - USAF,24,"113 km off Hawaii, USA",w/o
15-Dec-70,Grumman C-2A Greyhound,155120,United States Navy,9,"130 km NNE off Da Nang, Vietnam [Gulf of Tonkin]",w/o
6-Jun-70,Fairchild AC-119K Stinger,52-5935,United States Air Force - USAF,1,"off Da Nang, Vietnam [South China Sea]",w/o
2-Oct-69,Grumman C-2A Greyhound,152796,United States Navy,27,"112 km NE off Dong Hoi, Vietnam [Gulf of Tonkin]",w/o
5-Jun-69,Boeing RC-135E Rivet Amber,62-4137,United States Air Force - USAF,19,"ca 400 km E off Shemya, AK, USA [Bering Sea]",mis
8-Mar-69,Douglas C-47A-65-DL (DC-3),N65134,Zamrud Airlines,0,"370 km off Hilo, HI, USA",w/o
1-Mar-69,Lockheed P-2H Neptune,140964,United States Navy,0,765 km W off Guam,w/o
4-Feb-69,Lockheed HC-130H Hercules,65-0990,United States Air Force - USAF,13,off Taiwan,w/o
5-Apr-68,Lockheed P-3A Orion,151350,United States Navy,8,320 km E off Okinawa [China Sea],w/o
6-Feb-68,Lockheed P-3B Orion,153440,United States Navy,12,"80 km off Phu Quoc Island, Vietnam [Gulf of Thailand]",w/o
22-Aug-67,Fairchild C-123B Provider,657,Republic of China Air Force - ROCAF,6,off China [South China Sea],w/o
18-Oct-66,Grumman HU-16B Albatross,51-7145,United States Air Force - USAF,7,"ca 64 km off Dong Hoi, Gulf of Tonkin",mis
23-Jul-66,Douglas DC-3-362,HS-OOO,Thai Government,3,"840 km W off San Francisco, CA, USA",mis
9-Apr-66,Lockheed P-3A Orion,152171,United States Navy,11,"300 km S off San Diego-North Island NAS, CA (NZY), USA",w/o
1-Feb-66,Lockheed KC-130F Hercules,149809,United States Marine Corps,6,"64 km E off Dong Hoi, Vietnam [Gulf of Tonkin]",w/o
3-Jul-65,Grumman HU-16B Albatross,51-058,United States Air Force - USAF,,Gulf of Tonkin,w/o
18-Jun-65,Grumman HU-16B Albatross,51-5287,United States Air Force - USAF,0,200 km off North Vietnamese coast,w/o
4-Dec-64,Lockheed P-3A Orion,150508,United States Navy,13,"40 km W off Luzon Island-Cubi Point NAS (NCP), Philippines",w/o
8-Sep-64,Lockheed SP-2E Neptune,131513,United States Navy,5,120 km off Vietnam coast [South China Sea],w/o
28-Mar-64,Douglas C-54A-10-DC (DC-4),N4726V,Facilities Management Corp.,9,"1120 km W off San Fransisco, CA",mis
2-Jan-64,Douglas C-124C Globemaster II,52-0968,28 Air Transport Sq  United States Air Force - USAF,9,1200 km W off Hawaii,mis
3-Jun-63,Douglas DC-7CF,N290,Northwest Orient Airlines,101,"292 km WSW off Annette Island, AK, USA",w/o
26-Dec-62,Martin P5M-1 Marlin,127712,United States Navy,13,"560 km SW off San Diego, CA, USA",w/o
22-Sep-62,Martin P5B Marlin,140144,United States Navy,10,"Montague Island, AK",w/o
16-Mar-62,Lockheed L-1049H Super Constellation,N6921C,Flying Tiger Line,107,between Guam and Angeles City,mis
10-Jun-61,Douglas C-133A Cargomaster,57-1614,United States Air Force - USAF,8,"off Tachikawa AB, Japan",w/o
22-Sep-60,Douglas R5D-3 (DC-4),56541,United States Marine Corps,29,"290 km SE off Okinawa, Japan",w/o
9-Dec-58,Avro Shackleton MR.1,VP254,Royal Air Force - RAF,10,"448 km N of Labuan, Malaysia [South China Sea]",w/o
2-Sep-58,Douglas C-124C Globemaster II,52-1081,United States Air Force - USAF,19,56 km W off Guam-Agana NAS (NGM),w/o
4-Jul-58,Douglas C-124C Globemaster II,50-107,United States Air Force - USAF,6,320 km NE off Johnston Island,w/o
19-Jan-58,Boeing C-97A Stratofreighter,49-2597,United States Air Force - USAF,7,"445 km SW off Honolulu, Hawaii",w/o
23-Dec-57,Lockheed WV-2 Super Constellation,143197,United States Navy,19,"40 km NW off Kahuku Point, Oahu, HI",w/o
8-Nov-57,Boeing 377 Stratocruiser 10-29,N90944,Pan American World Airways (Pan Am),44,"1500 km E of Honolulu, HI",w/o
22-Mar-57,Boeing C-97C Stratofreighter,50-702,United States Air Force - USAF,67,"320 km SE off Tokyo, Japan",mis
16-Oct-56,Boeing 377 Stratocruiser 10-29,N90943,Pan American World Airways (Pan Am),0,"1800 km SW off San Francisco, CA, USA",w/o
17-Sep-56,Lockheed WV-3 Super Constellation,137893,United States Navy,0,160 km S off Guam,w/o
9-Nov-55,Fairchild C-119G Flying Boxcar,52-5891,United States Air Force - USAF,1,"1046 km NE off Hickam AFB, Hawaii",w/o
24-Sep-55,Douglas C-54A-15-DC (DC-4),N90433,Flying Tiger Line,3,"1600 km W off Honolulu, HI, USA",w/o
26-Mar-55,Boeing 377 Stratocruiser 10-26,N1032V,Pan American World Airways (Pan Am),4,"56 km W off Oregon, USA",w/o
4-Sep-54,Lockheed P2V-5 Neptune,128357,United States Navy,1,"ca 60 km SE off Cape Ostrovnoi, Russia {Sea of Japan]",w/o
21-May-54,Martin P5M-1 Marlin,126511,United States Navy,4,"650 km E off Hawaii, USA",w/o
18-Nov-53,Consolidated PBY-6A Catalina,64089,United States Navy,0,160 km off Midway Island,w/o
12-Jul-53,Douglas DC-6,N90806,Transocean Air Lines,58,550 km E of Wake Island (Pacific Ocean),w/o
27-Mar-53,Douglas R5D-1 (DC-4),N229A,California Eastern Airways,0,"off San Fransisco, CA, USA",w/o
26-Dec-51,Lockheed P2V-3 Neptune,122972,United States Navy,2,"160 km E off Kosing, North Korea [Sea of Japan]",w/o
15-Oct-50,Douglas C-47A-75-DL (DC-3),42-100855,United States Air Force - USAF,4,Sea of Japan,mis
30-Aug-50,Douglas Dakota IV (DC-3),KN240,Royal Air Force - RAF,9,"off Jemaja Island, Indonesia",w/o
27-Mar-49,Consolidated PBY-6A Catalina,64028,United States Navy,0,973 km SW off Johnston Island,w/o
5-Dec-48,Douglas C-54D-10-DC (DC-4),42-72686,United States Air Force - USAF,4,1930 km SW off Hawaii,w/o
21-Nov-47,Lockheed P2V-2 Neptune,89095,United States Navy,9,"180 km W off San Diego, CA",w/o
24-Sep-47,Douglas C-54 (DC-4),,United States Army Air Force - USAAF,0,692 km S of Guam,w/o
26-Feb-47,Douglas Dakota IV (DC-3),KK120,Royal Air Force - RAF,12,China Sea,mis
11-Jan-47,Douglas C-54A-DO (DC-4),PI-C100,Far East Air Transport,7,"130 km W off Laoag, Philippines",w/o
16-Nov-46,Curtiss C-46F-1-CU Commando,44-78691,United States Army Air Force - USAAF,23,"24 km off Iwo Jima Air Base (IWO), Japan",w/o
7-Aug-46,Consolidated PBY-5A Catalina,48284,United States Navy,6,"N off Point Arena, CA",w/o
11-Jul-46,Douglas C-54D (DC-4),43-17229,United States Army Air Force - USAAF,0,39 km off Guam,w/o
29-Jun-46,Douglas R4D-5 (DC-3),17187,United States Marine Corps,,480 km S off Hawaii,w/o
25-May-46,Douglas C-54G-1-DO (DC-4),45-489,United States Army Air Force - USAAF,5,ca 480 km E of Guam,mis
28-Jan-46,Douglas C-47B-1-DL (DC-3),43-16421,United States Army Air Force - USAAF,0,off Taiwan,w/o
4-Jan-46,Douglas Dakota IV (DC-3),KN363,Royal Air Force - RAF,3,"off Hainan Island, South China Sea",w/o
11-Dec-45,Douglas C-47A-80-DL (DC-3),43-15423,United States Army Air Force - USAAF,4,between Tachikawa and Okinawa,mis
25-Nov-45,Douglas C-47B-1-DL (DC-3),43-16332,United States Army Air Force - USAAF,,unknown,mis
4-Nov-45,Boeing 314,NC18601,Pan American World Airways (Pan Am),0,"1000 km NE off Honolulu, HI",w/o
16-Oct-45,Douglas C-47A-20-DK (DC-3),42-92929,United States Army Air Force - USAAF,12,"96 km NW off Saipan, Mariana Islands",w/o
13-Oct-45,Douglas C-47B-20-DK (DC-3),43-49754,United States Army Air Force - USAAF,6,between Okinawa and Laoag,mis
26-Sep-45,Curtiss C-46D-20-CU Commando,44-78352,United States Army Air Force - USAAF,,South West Pacific,w/o
24-Sep-45,Douglas C-47B-5-DK (DC-3),NZ3526,Royal New Zealand Air Force - RNZAF,20,between Vanuatu and New Zealand,mis
19-Sep-45,Douglas C-47A-20-DL (DC-3),A65-6,Royal Australian Air Force - RAAF,0,"ca 240 km E off Tarakan, Indonesia",w/o
28-Aug-45,Douglas C-47A-70-DL (DC-3),42-100717,United States Army Air Force - USAAF,19,"400 km off Okinawa, Japan",mis
26-Aug-45,Douglas C-47A-DK (DC-3),42-92037,United States Army Air Force - USAAF,2,"N off Cape York, Australia",w/o
21-Jun-45,Canadian Vickers OA-10A Canso A (PBY-5A),44-34050,United States Army Air Force - USAAF,11,"177 km S off Los Negros, Admiralty Islands",mis
13-Jun-45,Curtiss C-46D-5-CU Commando,44-77353,United States Army Air Force - USAAF,,South-West Pacific,w/o
11-Jun-45,Curtiss C-46D-5-CU Commando,44-77336,United States Army Air Force - USAAF,,South-West Pacific,w/o
8-Jun-45,Douglas C-47B-20-DK (DC-3),43-49762,United States Army Air Force - USAAF,8,between Tacloban and Sansapor,mis
2-Jun-45,Consolidated PBY-5A Catalina,46468,United States Navy,8,NW off Iwo Jima,mis
6-Apr-45,Consolidated PBY-5A Catalina,A24-54,Royal Australian Air Force - RAAF,,off Timor [Savu Sea],w/o
19-Mar-45,Douglas Dakota IV (DC-3),KN343,Royal Air Force - RAF,0,"200 km S off Port Moresby, Papua New Guinea",w/o
19-Mar-45,Douglas R4D-6 (DC-3),50770,United States Navy,17,,mis
12-Mar-45,Curtiss C-46D-5-CU Commando,42-101207,United States Army Air Force - USAAF,,South West Pacific,w/o
7-Mar-45,Boeing-Canada PB2B-1 Catalina,A24-203,Royal Australian Air Force - RAAF,9,,mis
27-Feb-45,Boeing-Canada PB2B-1 Catalina,44244,United States Navy,6,South Pacific,w/o
26-Feb-45,Consolidated C-87A Liberator Express,41-24174,United States Army Air Force - USAAF,10,off Marshall Islands,mis
23-Feb-45,Douglas C-47B-1-DL (DC-3),43-16224,United States Army Air Force - USAAF,20,"off Biak, Indonesia",w/o
21-Jan-45,Curtiss C-46A-50-CU Commando,42-101067,United States Army Air Force - USAAF,,South West Pacific,w/o
18-Jan-45,Douglas C-47B-20-DK (DC-3),43-49871,United States Army Air Force - USAAF,,off Hawaii,w/o
15-Jan-45,Curtiss C-46D-10-CU Commando,44-77452,United States Army Air Force - USAAF,,,w/o
2-Jan-45,Douglas C-47A-15-DK (DC-3),42-92817,United States Army Air Force - USAAF,,between Biak to Peleliu,mis
12-Dec-44,Douglas C-47A-DL (DC-3),43-30745,United States Army Air Force - USAAF,4,between Biak and Finschhafen,mis
1-Dec-44,Consolidated PBY-5A Catalina,48331,United States Navy,,South Pacific,w/o
27-Nov-44,Douglas C-47B-1-DL (DC-3),43-16343,United States Army Air Force - USAAF,21,between Tacloban and Palau,mis
24-Nov-44,Curtiss C-46D-5-CU Commando,42-101046,United States Army Air Force - USAAF,6,South West Pacific,w/o
11-Nov-44,Douglas C-54A-15-DC (DC-4),42-72252,United States Army Air Force - USAAF,17,"80 km NE off Oahu Island, HI",w/o
24-Sep-44,Douglas C-47-DL (DC-3),41-38681,United States Army Air Force - USAAF,,"33 km E off Owi Island, Papua New Guinea",w/o
8-Sep-44,Consolidated PBY-5 Catalina,8244,United States Navy,,South Pacific,w/o
6-Sep-44,Consolidated PBY-5 Catalina,4492,United States Navy,,"St. Genges Channel, South Pacific",w/o
13-Aug-44,Consolidated PBY-5 Catalina,8331,United States Navy,4,South-West Pacific,mis
24-Jul-44,Consolidated PBY-5 Catalina,8137,United States Navy,5,South Pacific,w/o
16-Jun-44,Consolidated PBY-5 Catalina,8469,United States Navy,0,"240 km NW off Espiritu Santos, Vanuatu",w/o
21-May-44,Consolidated PBY-5 Catalina,8509,United States Navy,6,South Pacific,w/o
18-May-44,Douglas R4D-5 (DC-3),39073,United States Navy,23,between Torokina and Guadalcanal,mis
12-May-44,Consolidated PBY-5A Catalina,7301,United States Navy,,"165 km W off San Diego, CA, USA",w/o
10-May-44,Consolidated PBY-5A Catalina,46500,United States Navy,9,off Midway Island,mis
2-May-44,Consolidated PBY-5A Catalina,A24-32,Royal Australian Air Force - RAAF,,Coral Sea,w/o
30-Apr-44,Consolidated PBY-5 Catalina,8431,United States Navy,3,South Pacific,w/o
25-Apr-44,Consolidated PBY-5 Catalina,8283,United States Navy,0,,w/o
15-Apr-44,Douglas C-47-DL (DC-3),41-18592,United States Army Air Force - USAAF,,between New Hebrides and New Caledonia,mis
2-Apr-44,Douglas C-47A-15-DK (DC-3),42-92815,United States Army Air Force - USAAF,5,Pacific Ocean,mis
4-Feb-44,Douglas C-47-DL (DC-3),42-24418,United States Army Air Force - USAAF,6,between Tontouta and Espiritu Santo,mis
17-Jan-44,Consolidated PBY-5A Catalina,34018,United States Navy,8,"off Adak, AK",mis
